OBJECTID,FEATURE_ID,OPERATIONAL,LENGTH,DIRECTION,CARRIAGEWAY,ROAD_NAME,BOROUGH,WEEK_DAYS,SATURDAY,SUNDAY,EVENT_DAYS,VEHICLES,ROUTE,LANE_TYPE,ROADTYPE,YEAR_REMOVED,DATASET_LAST_UPDATED,Shape__Length
50860,e2092235-2322-45dd-b876-9f364104ec2c,Live,31,South West,Nearside,Kidbrooke Park Road,Greenwich,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus,"132, 178, 286, 335",Not Applicable,Borough,,2024/08/13 00:00:00+00,30.9691535386657
50861,48601440-438a-4a5d-9066-f89deecd3b44,Live,186,North,Nearside,Dulwich Road,Lambeth,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","3, 68, 196, 201, 322, 468, 690, N3, N68",Not Applicable,Borough,,2024/08/13 00:00:00+00,186.354455891567
50862,df8dbde0-247e-4561-96aa-edd96c6ca762,Live,186,West,Nearside,Alfred's Way,Barking & Dagenham,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","173, 673",Not Applicable,TLRN,,2024/08/13 00:00:00+00,185.606132083086
50863,eb2dadf6-371d-4af2-9ba4-01fd53d29007,Live,397,South,Nearside,Rushey Green,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus and Cycle,"47, 54, 75, 124, 136, 160, 171, 181, 185, 199, 202, 208, 284, 320, 336, 660, N136, N171, N199",Not Applicable,TLRN,,2024/08/13 00:00:00+00,397.362031215591
50864,a67f9cfd-b756-46f3-84a2-4d0240945f10,Live,535,South,Nearside,Denmark Hill,Southwark,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","42, 68, 468, N68, UL3",Not Applicable,Borough,,2024/08/13 00:00:00+00,534.719451819128
50865,70ec8f06-197a-42a5-9791-ee47a2d3080a,Live,66,South East,Nearside,Woolwich Manor Way,Newham,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus,"101, 104, 173, 300, 474, 673, UL79",Not Applicable,Borough,,2024/08/13 00:00:00+00,66.0753266166626
50866,be51e598-19b1-45cd-bd5d-db12d7b4c2a2,Live,59,North West,Nearside,Lampton Road,Hounslow,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","120, H20, UL31",Not Applicable,Borough,,2024/08/13 00:00:00+00,59.0424569277434
50867,2a2ef6c7-6aa5-4d20-9d00-e500f3b5b9f4,Live,244,North,Nearside,Fulham Palace Road,Hammersmith & Fulham,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","190, 211, 220, 295, N11, N33, N72, N97, UL26, Y295",Not Applicable,Borough,,2024/08/13 00:00:00+00,243.79182648488
50868,cbeb9bfc-0956-4149-a22e-659d6534d9bf,Live,150,East,Nearside,Ripple Road,Barking & Dagenham,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","173, 287, 673, 687",Not Applicable,Borough,,2024/08/13 00:00:00+00,150.478475269991
50869,9b8bfdd5-f7f3-4063-8e4e-df05612bca1f,Live,240,South East,Nearside,Uxbridge Road,Hillingdon,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle and Taxi","90, 427, 696, 697, N207, SL8, U7",Not Applicable,Borough,,2024/08/13 00:00:00+00,239.851049318602
